system:index,B8A,B9,LAI,MSR2,OSAVI,RDVI,.geo
5_7317,2615.0,2306.0,1.011810541152954,0.20649564227107609,0.1574232818466159,25.33183188903856,
5_7333,2533.0,2310.0,1.0715184211730957,0.15838758452937945,0.12281558518680578,22.906325659853135,
5_7360,2670.0,2377.0,1.103216528892517,0.14768829273939985,0.1149519901223123,25.0406516999052,
5_7362,2736.0,2506.0,1.0693460702896118,0.20343692769323696,0.15526010529133577,26.101885204232918,
5_7371,2615.0,2349.0,1.121862530708313,0.11507182723729042,0.09060101275270001,25.610888228763077,
5_7404,2511.0,2194.0,1.0280125141143799,0.2733877826867078,0.20357171402657065,21.79170208327546,
5_7406,2730.0,2554.0,1.0409895181655884,0.17414308638685844,0.13428385452192654,25.675229138302697,
5_7429,2664.0,2412.0,1.0507935285568237,0.14107001646374434,0.11006175694976718,20.92381881507756,
5_7434,2594.0,2293.0,1.0444883108139038,0.19387453849199124,0.1484636130597527,23.113692261633755,
5_7475,2696.0,2380.0,1.0513451099395752,0.14151630048152364,0.11039054089307432,23.377990297584603,
5_7490,2491.0,2052.0,1.0167279243469238,0.18710103381311766,0.14361933514524408,21.676585355739387,
5_7507,2580.0,2278.0,1.075513482093811,0.19606378127634064,0.15002488547233353,22.484180663197147,
5_7511,2666.0,2298.0,1.100597620010376,0.2354705094061001,0.17769342588347353,23.7501961565525,
5_7525,2549.0,2360.0,1.0296214818954468,0.17856744814808084,0.13747878477541797,24.645293399058243,
5_7540,2559.0,2373.0,1.02533757686615,0.14282663075660412,0.11135880720273457,23.62595326653388,
5_7546,2590.0,2293.0,1.1191164255142212,0.11986051665260238,0.0942158573140395,21.41599326654809,
5_7552,2901.0,2415.0,1.0748248100280762,0.1779273118083387,0.1370229540340617,24.792926971941704,
5_7553,2549.0,2223.0,1.0113955736160278,0.14728913938612845,0.1146580924437707,22.94389841195684,
5_7563,2559.0,2228.0,1.056662678718567,0.19886355828575486,0.1520180651797887,21.533238951603064,
5_7569,2415.0,2231.0,1.1240549087524414,0.16160197433384346,0.1251593375377755,25.59160269300335,
5_7581,2242.0,2066.0,1.1233127117156982,0.13256117476540066,0.10372900606456151,20.283158380097888,
5_7624,2102.0,1986.0,1.1286402940750122,0.1755806478447829,0.1353077376196336,25.154472050677263,
5_7629,1963.0,1937.0,1.0170843601226807,0.1626930071395848,0.12594455294800355,24.14005486294417,
5_7632,2403.0,2448.0,1.059026837348938,0.1324599903491873,0.10364709530592187,26.88229899744797,
5_7688,2694.0,2388.0,1.0176892280578613,0.11978033981498386,0.09415400704750233,24.382262081496833,
5_7736,2985.0,2311.0,1.0246822834014893,0.23281158530568058,0.1758561177218639,24.760484357516237,
5_7746,2589.0,2332.0,1.099280834197998,0.15135356252254373,0.11765448932051818,22.392449641516833,
5_7758,2549.0,2304.0,1.027712345123291,0.18008877286149544,0.13857700199634068,23.808971849156823,
5_7761,2773.0,2486.0,1.1004512310028076,0.16243575123249424,0.12577509733331788,25.81622739172678,
5_7768,2345.0,2204.0,1.0996441841125488,0.12046772038736686,0.09466825748133822,22.532685004036342,
5_7781,2415.0,2189.0,1.1107944250106812,0.17177205060009734,0.13256560151202143,22.02009893958498,
5_7783,2400.0,2237.0,1.014403223991394,0.16649038792877463,0.12872149322505363,26.261370507443893,
5_7802,2404.0,2170.0,1.0330654382705688,0.13527584562953537,0.10575432468716459,20.425931777568163,
5_7872,2588.0,2443.0,1.0708630084991455,0.10535532716623719,0.08323759075388713,23.500604602625742,
5_7915,2541.0,2285.0,1.0328317880630493,0.14603779040419165,0.11373399852733292,22.993641339531322,
5_7929,2518.0,2167.0,1.0214735269546509,0.1499220171509549,0.11660139572922708,20.69491100431136,
5_7933,2742.0,2368.0,1.1104167699813843,0.13407428511807043,0.10485936467834088,24.99923448687637,
5_7935,2631.0,2461.0,1.0973548889160156,0.15807598645564463,0.12258684564186614,24.651623853924804,
5_7942,2665.0,2434.0,1.0471147298812866,0.1763012331481955,0.13584910710999426,21.324821030148684,
5_7947,2452.0,2303.0,1.1309400796890259,0.1402441199033212,0.10944296094970592,23.772530765197793,
5_7955,2499.0,2318.0,1.0154742002487183,0.18460008455313937,0.14182146785464567,23.859635262275578,
5_7998,2606.0,2230.0,1.0820356607437134,0.18495348159406358,0.1420787202880532,23.001913193040803,
5_8014,2500.0,2325.0,1.0464187860488892,0.143349566229662,0.11174568224041835,23.01557764122578,
5_8030,2433.0,2199.0,1.0667600631713867,0.13755285361239053,0.10744810744810743,20.748194191038763,
5_8051,2651.0,2387.0,1.0386415719985962,0.20529877582959424,0.15657934809990937,24.346232070864854,
5_8069,3123.0,2098.0,1.054790735244751,0.2985934717996782,0.2203889497719318,23.422062905715695,
